Pantalla_Resolución de pantalla,_resolucion_pixeles,Comunicaciones_Estándar LAN,Sistema operativo_Arquitectura bit,Alimentación_Vatios-hora,_gpu_value,_gpu_price_usd,gpu_series,Pantalla_Formato de imagen,Otras características_Fecha de lanzamiento,Medidas y peso_Diseño,_tiene_webcam,Cámara_Webcam,Comunicaciones_Estándar wifi,Medidas y peso_Altura,Pantalla_Diagonal de la pantalla,Pantalla_Tamaño de la pantalla,_tamano_pantalla_pulgadas,Almacenamiento_Lector óptico,_version_bluetooth,Comunicaciones_Versión Bluetooth,_peso_kg,Medidas y peso_Peso,_serie,_cpu_price_usd,_cpu_value,Procesador_Frecuencia de reloj,Disco duro_Número de discos duros (instalados),Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Sistema operativo_Sistema operativo,Disco duro_Tipo de disco duro,Procesador_Caché,Procesador_Frecuencia turbo máx.,Medidas y peso_Profundidad,Medidas y peso_Ancho,Gráfica_Memoria gráfica,_cpu_cores,Procesador_Número de núcleos del procesador,gpu_brand,Procesador_Tipo de procesador,_gpu_rank,_gpu_mark,_ssd_gb,Disco duro_Capacidad de memoria SSD,gpu_is_integrated,Gráfica_Tarjeta gráfica,Otras características_Equipamiento,_ram_gb,RAM_Memoria RAM,cpu_family,cpu_brand,_cpu_mark,_cpu_rank,Procesador_Procesador,Procesador_Fabricante del procesador,Tipo de producto,Comunicaciones_Conectividad,_tiene_bluetooth,_tiene_wifi,Tipo,_brand,_precio_num
,,,64 Bit,75 Wh,63.3,249.0,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,20 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.65,"1,65 kg",ASUS Zenbook,,,,1.0,,,,,,,"21,8 cm","31,4 cm",memoria compartida,16.0,16.0,intel,,119.0,15761.0,,,True,Intel Arc Graphics,"USB-C, altavoces estéreo, webcam",,,,,,,,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,2916.13
,,,64 Bit,86 Wh,,,,16:10,2023.0,con tapa,1.0,integrada,,19 mm,"40,64 cm",16 pulgadas,16.0,,5.2,Bluetooth 5.2,1.73,"1,73 kg",HP ZBook,,,,,,,Windows 11 Professional,,,,"24,2 cm","35,6 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,HP,3102.28
,,,64 Bit,76 Wh,,,,16:10,2024.0,con tapa,1.0,2.0 Mpx,IEEE 802.11ax,13 mm,"40,64 cm",16 pulgadas,16.0,,5.3,Bluetooth 5.3,1.56,"1,56 kg",Samsung Galaxy Book,,,,1.0,Meteor Lake,,,SSD,,,25 cm,"35,5 cm",,,,,,,,,,,,,,,,,,,,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Samsung,2480.915
,,,,70 Wh,,,,,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,16 mm,"36,068 cm","14,2 pulgadas",14.2,,5.3,Bluetooth 5.3,1.6,"1,6 kg",Apple MacBook Pro,,,,,,,macOS Sonoma,,,,"22,1 cm","31,3 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",,,,,,,,,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,Apple,3174.785
,,,64 Bit,72 Wh,,,,16:10,,,1.0,2.0 Mpx,,,"35,56 cm",14 pulgadas,14.0,,5.4,Bluetooth 5.4,,,ASUS Zenbook,,,,,,,,,,,,,,,,,,,,1000.0,1.000 GB,,,,,,,,,,,,Ultrabook,wifi,0.0,1.0,Laptop,ASUS,2259.23
1.920 x 1.080 píxeles,2073600.0,,,45 Wh,,,,16:9,2020.0,con tapa,1.0,integrada,IEEE 802.11ac,20 mm,"39,62 cm","15,6 pulgadas",15.6,,4.2,Bluetooth 4.2,1.87,"1,87 kg",Medion Akoya,,,,1.0,,,,SSD,,,24 cm,"35,9 cm",,,,,,,,,,,,"USB-C, webcam, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Medion,421.53999999999996
,,,,99 Wh,,,,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,21 mm,"39,62 cm","15,6 pulgadas",15.6,,5.2,Bluetooth 5.2,2.25,"2,25 kg",Gigabyte Aorus,,,,,,,,,,,"27,2 cm",36 cm,8.192 MB,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,Intel,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,Gigabyte,1401.915
,,Gigabit-LAN,,65 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,27 mm,"40,64 cm",16 pulgadas,16.0,,5.3,Bluetooth 5.3,2.3,"2,3 kg",MSI Sword,,,,1.0,,DDR5,,,,,"26,6 cm","35,9 cm",,,,,,,,,,,,"micrófono integrado, USB-C, altavoces estéreo, webcam",,,,,,,,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,MSI,1628.415
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,,38 Wh,63.3,249.0,,16:9,2021.0,con tapa,1.0,integrada,,20 mm,"39,62 cm","15,6 pulgadas",15.6,ninguno,5.0,Bluetooth 5.0,1.7,"1,7 kg",,49.99,90.32,"1,1 GHz",1.0,Jasper Lake,DDR4,Free DOS,,4 MB,"2,8 GHz","23,6 cm","35,9 cm",memoria compartida,2.0,2.0,intel,Intel Celeron,119.0,15761.0,256.0,256 GB,True,Intel UHD Graphics,"webcam, altavoces estéreo, USB-C",8.0,8 GB RAM,celeron,intel,4515.0,2185.0,Intel Celeron N4500,Intel,Portátil multimedia,"LAN, wifi, Bluetooth",1.0,1.0,Laptop,Lenovo,318.765
,,,,83 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"40,894 cm","16,1 pulgadas",16.1,,5.3,Bluetooth 5.3,2.33,"2,33 kg",HP Victus,,,,,,,,,,,"25,9 cm","36,9 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,HP,2703.5499999999997
