,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1635,Radeon HD 7660D + HD 7700 Dual,1958,882,,
1636,Radeon HD 7660D + R5 235 Dual,523,1699,,
1637,Radeon HD 7660D + R7 240 Dual,941,1273,,
1638,Radeon HD 7660G,473,1761,,
1639,Radeon HD 7660G + 7400M Dual,588,1608,,
1640,Radeon HD 7660G + 7470M Dual,630,1555,,
1641,Radeon HD 7660G + 7600M Dual,831,1354,,
1642,Radeon HD 7660G + 7610M Dual,745,1435,,
1643,Radeon HD 7660G + 7670M Dual,743,1437,,
1644,Radeon HD 7660G + 7700M Dual,757,1424,,
1645,Radeon HD 7660G + 7730M Dual,931,1284,,
1646,Radeon HD 7660G + 8600M Dual,445,1794,,
1647,Radeon HD 7660G + 8670M Dual,587,1609,,
1648,Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,1234,,
1649,Radeon HD 7660G + HD 7500/7600 Dual,760,1420,,
1650,Radeon HD 7660G + HD 7500M/7600M Dual,999,1238,,
1651,Radeon HD 7660G + HD 7600M Dual,568,1641,,
1652,Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,1778,,
1653,Radeon HD 7660G + HD 7670M Dual,706,1470,,
1654,Radeon HD 7660G + HD 7700M Dual,777,1395,,
1655,Radeon HD 7660G + HD 7730M Dual,881,1314,,
1656,Radeon HD 7660G + HD 8500M Dual,758,1421,,
1657,Radeon HD 7660G + HD 8600/8700M Dual,747,1433,,
1658,Radeon HD 7660G + HD 8600M Dual,363,1867,,
1659,Radeon HD 7660G + HD 8670M Dual,711,1467,,
1660,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722,1455,,
1661,Radeon HD 7660G N HD 7660G + HD 7670M Dual,704,1473,,
1662,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966,1259,,
1663,Radeon HD 7670,817,1367,,
1664,Radeon HD 7670A,1050,1208,,
1665,Radeon HD 7670M,473,1760,0.75,$629.99*
1666,Radeon HD 7670M + 7670M Dual,738,1444,,
1667,Radeon HD 7690M,847,1338,,
1668,Radeon HD 7690M XT,1009,1229,,
1669,Radeon HD 7700-serie,1899,897,,
1670,Radeon HD 7730,1188,1145,5.11,$232.70*
1671,Radeon HD 7730M,780,1394,,
1672,Radeon HD 7750,1692,970,13.67,$123.82
1673,Radeon HD 7750M,1191,1142,,
1674,Radeon HD 7770,2174,807,7.25,$300.00*
1675,Radeon HD 7790,3090,642,22.07,$139.99*
1676,Radeon HD 7800-serie,4029,538,,
1677,Radeon HD 7850,3886,548,22.21,$174.99
1678,Radeon HD 7850M,1372,1081,,
1679,Radeon HD 7870,4602,496,26.15,$176.00*
1680,Radeon HD 7870 XT,4469,510,,
1681,Radeon HD 7870M,1507,1039,,
1682,Radeon HD 7950 / R9 280,4764,483,19.78,$240.83*
1683,Radeon HD 7970 / R9 280X,5247,436,21.25,$246.99*
1684,Radeon HD 7970M,3568,583,,
1685,Radeon HD 7990,5565,411,13.91,$399.99*
1686,Radeon HD 8180,134,2135,,
1687,Radeon HD 8210,195,2037,,
