,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
2339,Radeon Vega 2 Athlon Silver 3050U,521,1702,,
2340,Radeon Vega 3,889,1311,0.33,"$2,677.99*"
2341,Radeon Vega 3 3020e,553,1657,,
2342,Radeon Vega 3 Athlon 3000G,955,1262,,
2343,Radeon Vega 3 Athlon 300GE,1044,1213,,
2344,Radeon Vega 3 Athlon 300U,832,1352,,
2345,Radeon Vega 3 Athlon 320GE,677,1500,,
2346,Radeon Vega 3 Athlon Gold 3150G,1088,1188,,
2347,Radeon Vega 3 Athlon Gold 3150U,668,1506,,
2348,Radeon Vega 3 Athlon Gold PRO 3150G,671,1504,,
2349,Radeon Vega 3 Athlon PRO 300GE w/,1010,1227,,
2350,Radeon Vega 3 Athlon Silver 3050e,485,1742,,
2351,Radeon Vega 3 Athlon Silver 3050U,874,1316,,
2352,Radeon Vega 3 Mobile,1047,1211,,
2353,Radeon Vega 3 Ryzen 3 3200U,838,1344,,
2354,Radeon Vega 3 Ryzen 3 3250U,680,1495,,
2355,Radeon Vega 3 Ryzen Embedded R1305G,580,1620,,
2356,Radeon Vega 3 Ryzen Embedded R1505G,741,1439,,
2357,Radeon Vega 3 Ryzen Embedded R1606G,856,1328,,
2358,Radeon Vega 6,1309,1099,0.73,"$1,799.99*"
2359,Radeon Vega 6 Ryzen 3 3300U,1304,1102,,
2360,Radeon Vega 6 Ryzen 3 3350U,1480,1055,,
2361,Radeon Vega 6 Ryzen 3 PRO 3300U w/,1333,1092,,
2362,Radeon Vega 8,1577,1014,12.44,$126.86*
2363,Radeon Vega 8 Mobile,1426,1067,,
2364,Radeon Vega 8 Ryzen 3 3200G,1723,954,,
2365,Radeon Vega 8 Ryzen 3 3200GE,1994,863,,
2366,Radeon Vega 8 Ryzen 3 PRO 3200G,1261,1115,,
2367,Radeon Vega 8 Ryzen 3 PRO 3200GE w/,1571,1018,,
2368,Radeon Vega 8 Ryzen 5 3450U,1288,1105,,
2369,Radeon Vega 8 Ryzen 5 3500U,1353,1087,,
2370,Radeon Vega 8 Ryzen 5 3550H,1699,967,,
2371,Radeon Vega 8 Ryzen 5 PRO 3500U w/,1480,1054,,
2372,Radeon Vega 9,1587,1010,,
2373,Radeon Vega 9 Ryzen 5 3550H,1571,1017,,
2374,Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1481,1053,,
2375,Radeon Vega Frontier Edition,13013,178,7.75,"$1,679.99*"
2376,Radeon VII,16351,110,8.61,"$1,899.95*"
2377,Radeon X1050,49,2381,,
2378,Radeon X1200,32,2462,,
2379,Radeon X1250,37,2433,,
2380,Radeon X1270,31,2466,,
2381,Radeon X1300,58,2352,0.61,$95.78*
2382,Radeon X1300 PRO,84,2276,,
2383,Radeon X1550,66,2332,0.43,$155.00*
2384,Radeon X1550 64-bit,47,2386,,
2385,Radeon X1600,49,2379,,
2386,Radeon X1600 Pro,98,2237,,
2387,Radeon X1600 Pro / X1300XT,69,2320,,
2388,Radeon X1600 XT,115,2188,,
2389,Radeon X1650 GTO,74,2300,,
2390,Radeon X1650 Pro,84,2273,0.53,$160.89*
2391,Radeon X1650 SE,71,2312,,
2392,Radeon X1700 Targa Edition,116,2186,,
2393,Radeon X1800 GTO,140,2118,,
2394,Radeon X1900 CrossFire Edition,137,2128,,
2395,Radeon X1900 GT,145,2102,,
2396,Radeon X1950 CrossFire Edition,151,2088,,
2397,Radeon X1950 GT,106,2215,,
2398,Radeon X1950 Pro,112,2196,,
2399,RADEON X300SE,38,2428,,
2400,RADEON X550,50,2373,,
2401,RADEON X550XT,56,2360,,
2402,Radeon X550XTX,70,2313,,
2403,RADEON X600 256MB HyperMemory,56,2359,,
2404,RADEON X600 PRO,67,2328,0.42,$160.49*
2405,RADEON X600 SE,49,2382,0.87,$56.18*
2406,RADEON X600XT,91,2260,,
2407,RADEON X700,72,2307,,
2408,RADEON X700 PRO,75,2298,,
2409,RADEON X700 SE,71,2311,,
2410,RADEON X800 GT,84,2277,,
2411,RADEON X800 GTO,114,2190,,
2412,RADEON X800 PRO,64,2336,,
2413,RADEON X800 PRO/GTO,73,2304,,
2414,RADEON X800 SE,129,2145,,
2415,RADEON X800 XL,69,2319,,
2416,RADEON X800 XT,97,2243,,
2417,RADEON X800 XT Platinum Edition,81,2288,,
2418,RADEON X800GT,79,2293,,
2419,RADEON X850 PRO,72,2306,,
2420,RADEON X850 XT,81,2290,,
2421,RADEON X850 XT Platinum Edition,81,2283,,
2422,Radeon Xpress 1100,34,2450,,
2423,Radeon Xpress 1150,29,2471,,
2424,Radeon Xpress 1200,35,2441,,
2425,Radeon Xpress 1250,42,2405,,
2426,Radeon Xpress 1270,26,2481,,
2427,Radeon Xpress 1300,52,2364,,
2428,Radeon Xpress 1300M,40,2414,,
2429,RADEON XPRESS 200,29,2472,,
2430,RADEON XPRESS 200 CROSSFIRE,18,2512,,
2431,RADEON XPRESS 200M,22,2502,,
2432,RadeonT 610M,1081,1190,,
2433,RadeonT 660M,2220,798,,
2434,RadeonT 660M Ryzen 5 7535HS,4051,537,,
2435,RadeonT 680M Ryzen 7 7735HS,5626,403,,
2436,RadeonT 780M,7098,338,,
2437,RadeonT RX 6850M XT,14609,144,,
2438,RadeonT RX Vega 11,1842,918,,
2439,RadeonT Ryzen 3 3250U,581,1618,,
2440,Rage 128 Pro,1,2688,,
2441,RAGE 128 PRO AGP 4X TMDS,1,2690,,
2442,Rage Fury Pro/Xpert 2000 Pro,3,2651,,
2443,RDPDD Chained DD,225,1995,,
2444,Red Hat QXL controller,52,2363,,
2445,RGH Drivers v3,11,2531,,
2446,RIVA TNT2 Model 64/Model 64 Pro,3,2628,,
2447,RIVA TNT2/TNT2 Pro,3,2640,,
2448,RTX 1000 Ada Generation Laptop GPU,13389,166,,
2449,RTX 2000 Ada Generation,17114,98,,
2450,RTX 2000 Ada Generation Embedded GPU,15334,132,,
2451,RTX 2000 Ada Generation Laptop GPU,15228,134,,
2452,RTX 2000E Ada Generation,14143,148,,
2453,RTX 3000 Ada Generation Laptop GPU,15870,116,,
2454,RTX 3500 Ada Generation Embedded GPU,25188,35,,
2455,RTX 3500 Ada Generation Laptop GPU,19874,71,,
2456,RTX 4000 Ada Generation,23724,44,,
2457,RTX 4000 Ada Generation Laptop GPU,22288,54,,
2458,RTX 4000 SFF Ada Generation,20386,65,,
2459,RTX 4500 Ada Generation,27468,26,,
2460,RTX 500 Ada Generation Laptop GPU,10937,227,,
2461,RTX 5000 Ada Generation,30166,14,,
2462,RTX 5000 Ada Generation Embedded GPU,27774,24,,
2463,RTX 5000 Ada Generation Laptop GPU,23891,42,,
2464,RTX 5880 Ada Generation,23750,43,,
2465,RTX 6000 Ada Generation,28551,20,,
2466,RTX A1000,10607,234,,
2467,RTX A1000 6GB Laptop GPU,10081,244,,
2468,RTX A1000 Embedded GPU,11460,220,,
2469,RTX A1000 Laptop GPU,9558,257,,
2470,RTX A2000,13582,163,23.62,$574.99*
2471,RTX A2000 12GB,13741,157,,
2472,RTX A2000 8GB Laptop GPU,10678,231,,
2473,RTX A2000 Embedded GPU,10860,229,,
2474,RTX A2000 Laptop GPU,9703,253,,
2475,RTX A3000 12GB Laptop GPU,13692,158,,
2476,RTX A3000 Laptop GPU,12655,186,,
2477,RTX A400,5859,391,,
2478,RTX A4000,19514,78,18.71,"$1,042.99"
2479,RTX A4000 Laptop GPU,14894,141,,
2480,RTX A4500,21246,62,11.81,"$1,799.00*"
2481,RTX A4500 Embedded GPU,8309,294,,
2482,RTX A4500 Laptop GPU,16792,104,,
2483,RTX A500 Embedded GPU,5292,432,,
2484,RTX A500 Laptop GPU,6689,353,,
2485,RTX A5000,22539,51,10.11,"$2,229.99*"
2486,RTX A5000 Laptop GPU,16066,114,,
2487,RTX A5500,21502,60,9.91,"$2,169.99*"
2488,RTX A5500 Laptop GPU,17275,95,,
2489,RTX A6000,22610,50,5.5,"$4,109.99*"
2490,RTX PRO 1000 Blackwell Generation Laptop GPU,14131,149,,
2491,RTX PRO 2000 Blackwell Generation Laptop GPU,15569,124,,
2492,RTX PRO 3000 Blackwell Generation Laptop GPU,32375,8,,
2493,RTX PRO 500 Blackwell Generation Laptop GPU,15341,131,,
2494,RTX PRO 6000 Blackwell Workstation Edition,28386,21,,
2495,RV530 PRO,118,2178,,
2496,Ryzen 3 4300G with Radeon Graphics,1614,999,,
2497,Ryzen 3 4300GE with Radeon Graphics,2326,767,,
2498,Ryzen 3 4300U with Radeon Graphics,1360,1085,,
2499,Ryzen 3 5300G with Radeon Graphics,1968,876,,
2500,Ryzen 3 5300GE with Radeon Graphics,1950,886,,
2501,Ryzen 3 5300U with Radeon Graphics,1539,1029,,
2502,Ryzen 3 5400U with Radeon Graphics,1601,1006,,
2503,Ryzen 3 5425U with Radeon Graphics,1691,972,,
2504,Ryzen 3 7330U with Radeon Graphics,1693,969,,
2505,Ryzen 3 7335U with Radeon Graphics,1980,870,,
2506,Ryzen 3 PRO 4200GE with Radeon Graphics,1748,946,,
2507,Ryzen 3 PRO 4300U with Radeon Graphics,1542,1027,,
2508,Ryzen 3 Pro 4350G with Radeon Graphics,2087,833,,
2509,Ryzen 3 PRO 4350GE with Radeon Graphics,1931,889,,
2510,Ryzen 3 PRO 4450U with Radeon Graphics,1508,1038,,
2511,Ryzen 3 PRO 5350G with Radeon Graphics,2299,774,,
2512,Ryzen 3 PRO 5350GE with Radeon Graphics,1819,926,,
2513,Ryzen 3 PRO 5450U with Radeon Graphics,1617,996,,
2514,Ryzen 3 PRO 5475U with Radeon Graphics,1431,1065,,
2515,Ryzen 3 PRO 7330U with Radeon Graphics,2144,816,,
2516,Ryzen 5 2500U with Radeon Vega,1503,1040,,
2517,Ryzen 5 4500U with Radeon Graphics,1809,930,,
2518,Ryzen 5 4600G with Radeon Graphics,2358,758,,
2519,Ryzen 5 4600H with Radeon Graphics,2129,820,,
2520,Ryzen 5 4600HS with Radeon Graphics,8370,292,,
2521,Ryzen 5 4600U with Radeon Graphics,1904,895,,
2522,Ryzen 5 5500GT with Radeon Graphics,2224,796,,
2523,Ryzen 5 5500U with Radeon Graphics,1970,874,,
2524,Ryzen 5 5560U with Radeon Graphics,2098,831,,
2525,Ryzen 5 5600G with Radeon Graphics,2570,715,,
2526,Ryzen 5 5600GE with Radeon Graphics,2547,721,,
2527,Ryzen 5 5600GT with Radeon Graphics,2200,802,,
2528,Ryzen 5 5600H with Radeon Graphics,2297,775,,
2529,Ryzen 5 5600U with Radeon Graphics,2150,812,,
2530,Ryzen 5 5625U with Radeon Graphics,1996,862,,
2531,Ryzen 5 6600H with Radeon Graphics,3579,580,,
2532,Ryzen 5 6600HS Creator Edition,3690,566,,
2533,Ryzen 5 6600U with Radeon Graphics,3233,621,,
2534,Ryzen 5 7430U with Radeon Graphics,2270,785,,
2535,Ryzen 5 7530U with Radeon Graphics,2250,792,,
2536,Ryzen 5 7535U with Radeon Graphics,3323,607,,
2537,Ryzen 5 9600X 6-Core Processor,1858,913,,
2538,Ryzen 5 PRO 4400G with Radeon Graphics,2305,772,,
2539,Ryzen 5 PRO 4400GE with Radeon Graphics,1441,1059,,
2540,Ryzen 5 PRO 4500U with Radeon Graphics,2007,855,,
2541,Ryzen 5 Pro 4650G with Radeon Graphics,2389,748,,
2542,Ryzen 5 PRO 4650GE with Radeon Graphics,2139,817,,
2543,Ryzen 5 PRO 4650U with Radeon Graphics,1686,973,,
2544,Ryzen 5 PRO 5650G with Radeon Graphics,2481,732,,
2545,Ryzen 5 PRO 5650GE with Radeon Graphics,2455,736,,
2546,Ryzen 5 PRO 5650U with Radeon Graphics,1958,880,,
2547,Ryzen 5 PRO 5675U with Radeon Graphics,1719,956,,
2548,Ryzen 5 PRO 6650U,3519,588,,
2549,Ryzen 5 PRO 6650U with Radeon Graphics,3533,586,,
2550,Ryzen 5 PRO 7530U with Radeon Graphics,1882,903,,
2551,Ryzen 5 Pro 7535U with Radeon Graphics,3750,563,,
2552,Ryzen 7 2700U with Radeon Vega,1617,995,,
2553,Ryzen 7 4700G with Radeon Graphics,2186,805,,
2554,Ryzen 7 4700GE with Radeon Graphics,2496,731,,
2555,Ryzen 7 4700U with Radeon Graphics,2034,848,,
2556,Ryzen 7 4800H with Radeon Graphics,2113,825,,
2557,Ryzen 7 4800U with Radeon Graphics,2343,762,,
2558,Ryzen 7 5700G with Radeon Graphics,2771,683,,
2559,Ryzen 7 5700GE with Radeon Graphics,2762,685,,
2560,Ryzen 7 5700U with Radeon Graphics,2241,794,,
2561,Ryzen 7 5800H with Radeon Graphics,2736,688,,
2562,Ryzen 7 5800HS with Radeon Graphics,2795,679,,
2563,Ryzen 7 5800U with Radeon Graphics,2310,771,,
2564,Ryzen 7 5825U with Radeon Graphics,2351,761,,
2565,Ryzen 7 6800H,5247,437,,
2566,Ryzen 7 6800H with Radeon Graphics,4959,466,,
2567,Ryzen 7 6800HS,5237,438,,
2568,Ryzen 7 6800HS Creator Edition,5465,421,,
2569,Ryzen 7 6800HS with Radeon Graphics,6240,370,,
2570,Ryzen 7 6800U,5006,461,,
2571,Ryzen 7 6800U with Radeon Graphics,4760,484,,
2572,Ryzen 7 7730U with Radeon Graphics,2433,738,,
2573,Ryzen 7 7735HS with Radeon Graphics,5175,443,,
2574,Ryzen 7 7735U with Radeon Graphics,5081,454,,
2575,Ryzen 7 9700X 8-Core Processor,2250,791,,
2576,Ryzen 7 9800X3D 8-Core Processor,1830,923,,
2577,Ryzen 7 Extreme Edition,2151,810,,
2578,Ryzen 7 Pro 4750G with Radeon Graphics,2681,698,,
2579,Ryzen 7 PRO 4750GE with Radeon Graphics,2549,720,,
2580,Ryzen 7 PRO 4750U with Radeon Graphics,2029,850,,
2581,Ryzen 7 PRO 5750G with Radeon Graphics,2367,753,,
2582,Ryzen 7 PRO 5750GE with Radeon Graphics,2476,733,,
2583,Ryzen 7 PRO 5850U with Radeon Graphics,2337,763,,
2584,Ryzen 7 PRO 5875U with Radeon Graphics,2067,838,,
2585,Ryzen 7 PRO 6850H with Radeon Graphics,5790,396,,
2586,Ryzen 7 PRO 6850HS with Radeon Graphics,4087,534,,
2587,Ryzen 7 PRO 6850U,5580,409,,
2588,Ryzen 7 PRO 6850U with Radeon Graphics,5116,451,,
2589,Ryzen 7 PRO 6860Z,5076,455,,
2590,Ryzen 7 PRO 6860Z with Radeon Graphics,4869,474,,
2591,Ryzen 7 PRO 7730U with Radeon Graphics,2566,717,,
2592,Ryzen 7 Pro 7735U with Radeon Graphics,5142,449,,
2593,Ryzen 9 4900HS with Radeon Graphics,7022,342,,
2594,Ryzen 9 5900HS with Radeon Graphics,5479,420,,
2595,Ryzen 9 5900HX with Radeon Graphics,2935,661,,
2596,Ryzen 9 6900HS,8005,305,,
2597,Ryzen 9 6900HS with Radeon Graphics,6109,383,,
2598,Ryzen 9 6900HX with Radeon Graphics,5171,444,,
2599,Ryzen 9 9900X 12-Core Processor,1729,953,,
2600,Ryzen 9 9950X 16-Core Processor,1770,941,,
2601,Ryzen 9 PRO 6950H,5758,398,,
2602,Ryzen 9 PRO 6950H with Radeon Graphics,6176,376,,
2603,Ryzen 9 PRO 6950HS with Radeon Graphics,4704,491,,
2604,S3 5400EW,146,2101,,
2605,S3 Chrome 430 ULP,39,2420,,
2606,S3 Chrome S25 DDR2,18,2509,,
2607,S3 Chrome S27 DDR3,33,2453,,
2608,S3 Inc. Savage4,3,2649,,
2609,S3 ProSavageDDR,1,2687,,
2610,S3 SuperSavage/IXC 1014,1,2681,,
2611,SAPPHIRE RADEON 9000 ATLANTIS PRO,5,2586,,
2612,SAPPHIRE RADEON 9600 ATLANTIS,47,2388,,
2613,SAPPHIRE Radeon X1550,61,2344,,
2614,Sapphire RADEON X800 GT,112,2199,,
2615,Seria Mobility Radeon HD 3400,124,2160,,
2616,Seria Radeon HD 7700,1603,1004,,
2617,Snapdragon X Elite - X1E001DE - Qualcomm Adreno GP,3245,619,,
2618,Snapdragon X Elite - X1E78100 - Qualcomm Adreno GP,2565,718,,
2619,Snapdragon X Elite - X1E80100 - Qualcomm Adreno GP,2613,705,,
2620,Snapdragon X Elite - X1E84100 - Qualcomm Adreno GP,2981,653,,
2621,Snapdragon X Plus - X1P64100 - Qualcomm Adreno GPU,2601,706,,
2622,SUMO 9640,650,1529,,
2623,SUMO 9644,465,1769,,
2624,SUMO 964A,497,1730,,
2625,SuperDisplay Virtual Adapter,10390,238,,
2626,Surface Duo Adreno 640 GPU,592,1601,,
2627,T1000,7622,324,16.94,$449.99
2628,T1000 8GB,7644,323,,
2629,T1200 Laptop GPU,7772,313,,
2630,T400,3601,579,21.19,$169.99*
2631,T400 4GB,3802,558,,
2632,T500,3644,576,,
2633,T550 Laptop GPU,4780,480,,
2634,T600,6471,363,26.96,$239.99*
2635,T600 Laptop GPU,7084,339,,
2636,TENSOR 1.0 Driver Intel HD 630,1299,1104,,
2637,Tesla C2050,3175,629,11.76,$269.99*
2638,Tesla C2050 / C2070,3428,599,,
2639,Tesla C2070,3120,639,5.17,$604.00*
2640,Tesla C2075,3016,649,4.67,$646.00*
2641,Tesla K20m,4432,514,,
2642,Tesla K20Xm,4403,518,0.57,"$7,699.00*"
2643,Tesla K40c,4494,505,,
2644,Tesla K40m,3143,635,,
2645,Tesla K80,4680,493,7.88,$593.95*
2646,Tesla M10,3045,647,1.13,"$2,695.00*"
2647,Tesla M2070-Q,1305,1100,,
2648,Tesla M40,10219,240,17.03,$600.00*
2649,Tesla M40 24GB,10641,233,,
2650,Tesla M6,6226,373,31.29,$199.00*
2651,Tesla M60,7651,322,9.71,$787.90*
2652,Tesla P100-PCIE-16GB,11813,207,2.07,"$5,699.00*"
2653,Tesla P4,9097,272,,
2654,Tesla P40,12266,199,,
2655,Tesla T10,12557,189,,
2656,Tesla T4,10647,232,2.38,"$4,466.65*"
2657,Tesla V100-PCIE-16GB,12328,194,,
2658,TITAN RTX,20331,67,8.14,"$2,499.00*"
2659,TITAN V,19738,75,9.87,"$1,999.99*"
2660,TITAN V CEO Edition,16987,102,,
2661,TITAN Xp COLLECTORS EDITION,18775,84,,
2662,TRINITY DEVASTATOR MOBILE,699,1479,,
2663,TRINITY SCRAPPER MOBILE,498,1729,,
2664,V9560XT,6,2562,,
2665,Vanta/Vanta LT,3,2653,,
2666,VIA Chrome9 HC IGP,4,2614,,
2667,VIA Chrome9 HC IGP Family,3,2626,,
2668,VIA Chrome9 HC IGP Family WDDM,3,2638,,
2669,VIA Chrome9 HC IGP Prerelease WDDM 1.1,2,2676,,
2670,VIA Chrome9 HC IGP WDDM,2,2674,,
2671,VIA Chrome9 HC IGP WDDM 1.1,3,2642,,
2672,VIA Chrome9 HC3 IGP,2,2663,,
2673,VIA Chrome9 HCM IGP,1,2685,,
2674,VIA Chrome9 HD IGP,9,2537,,
2675,VIA/S3G C-645/640 GPU,132,2141,,
2676,VIA/S3G Chrome 645/640 GPU,109,2209,,
2677,VIA/S3G DeltaChrome IGP,3,2644,,
2678,VIA/S3G KM400/KN400,4,2620,,
2679,VIA/S3G UniChrome IGP,4,2615,,
2680,VIA/S3G UniChrome Pro IGP,4,2600,,
2681,VIA/S3G UniChromeII,5,2570,,
2682,Virtual Display Device,1661,979,,
2683,VirtualMonitor Device,2130,819,,
2684,VisionTek Radeon 7000,1,2682,,
2685,VMware Horizon Indirect Display Driver,3565,585,,
2686,WinFast A250 LE,4,2595,,
2687,Xabre,5,2587,,
2688,XGI Volari Family v1.13.23.D_V,4,2605,,
2689,ZX C-1080,315,1910,,
2690,ZX C-1190,416,1818,,
2691,ZX Chrome 645/640 GPU,147,2100,,
